year_month,num_fires
1992-01-01,3440
1992-02-01,6679
1992-03-01,9203
1992-04-01,7642
1992-05-01,8694
1992-06-01,7355
1992-07-01,7445
1992-08-01,7617
1992-09-01,3739
1992-10-01,3671
1992-11-01,1400
1992-12-01,1090
1993-01-01,1320
1993-02-01,4783
1993-03-01,5315
1993-04-01,6778
1993-05-01,6052
1993-06-01,6931
1993-07-01,8593
1993-08-01,7791
1993-09-01,4903
1993-10-01,4202
1993-11-01,3253
1993-12-01,2068
1994-01-01,3264
1994-02-01,5440
1994-03-01,11504
1994-04-01,9581
1994-05-01,6891
1994-06-01,6251
1994-07-01,11720
1994-08-01,9009
1994-09-01,5122
1994-10-01,2736
1994-11-01,2998
1994-12-01,1439
1995-01-01,1417
1995-02-01,6053
1995-03-01,10141
1995-04-01,9990
1995-05-01,5800
1995-06-01,4935
1995-07-01,8357
1995-08-01,7121
1995-09-01,7209
1995-10-01,4199
1995-11-01,2978
1995-12-01,3272
1996-01-01,3233
1996-02-01,10551
1996-03-01,9633
1996-04-01,9934
1996-05-01,6663
1996-06-01,6008
1996-07-01,9649
1996-08-01,9157
1996-09-01,3940
1996-10-01,3152
1996-11-01,2050
1996-12-01,1604
1997-01-01,2563
1997-02-01,3695
1997-03-01,7704
1997-04-01,10261
1997-05-01,6775
1997-06-01,4327
1997-07-01,7461
1997-08-01,6089
1997-09-01,5941
1997-10-01,3771
1997-11-01,1586
1997-12-01,1277
1998-01-01,1197
1998-02-01,2829
1998-03-01,6484
1998-04-01,7860
1998-05-01,4755
1998-06-01,6992
1998-07-01,10378
1998-08-01,8828
1998-09-01,6614
1998-10-01,5089
1998-11-01,4202
1998-12-01,3142
1999-01-01,3568
1999-02-01,5956
1999-03-01,10803
1999-04-01,10680
1999-05-01,6221
1999-06-01,6090
1999-07-01,7040
1999-08-01,12361
1999-09-01,9398
1999-10-01,5644
1999-11-01,7479
1999-12-01,4123
2000-01-01,5163
2000-02-01,10082
2000-03-01,11652
2000-04-01,8077
2000-05-01,8061
2000-06-01,8190
2000-07-01,11790
2000-08-01,13535
2000-09-01,6634
2000-10-01,7228
2000-11-01,3534
2000-12-01,2470
2001-01-01,5343
2001-02-01,6729
2001-03-01,6652
2001-04-01,9603
2001-05-01,9299
2001-06-01,6138
2001-07-01,9871
2001-08-01,8167
2001-09-01,4886
2001-10-01,6273
2001-11-01,10822
2001-12-01,2804
2002-01-01,3583
2002-02-01,9738
2002-03-01,9387
2002-04-01,8613
2002-05-01,7447
2002-06-01,6871
2002-07-01,10667
2002-08-01,8511
2002-09-01,4985
2002-10-01,1957
2002-11-01,2114
2002-12-01,1783
2003-01-01,4287
2003-02-01,2910
2003-03-01,6479
2003-04-01,9881
2003-05-01,5242
2003-06-01,5292
2003-07-01,10320
2003-08-01,9104
2003-09-01,4553
2003-10-01,4605
2003-11-01,3210
2003-12-01,2378
2004-01-01,3629
2004-02-01,3987
2004-03-01,12817
2004-04-01,11320
2004-05-01,5543
2004-06-01,6852
2004-07-01,8610
2004-08-01,6886
2004-09-01,3493
2004-10-01,2107
2004-11-01,2068
2004-12-01,1967
2005-01-01,4263
2005-02-01,4980
2005-03-01,10179
2005-04-01,12710
2005-05-01,6211
2005-06-01,6126
2005-07-01,9421
2005-08-01,8524
2005-09-01,7538
2005-10-01,5682
2005-11-01,7953
2005-12-01,5017
2006-01-01,9596
2006-02-01,7866
2006-03-01,18913
2006-04-01,16107
2006-05-01,8575
2006-06-01,10485
2006-07-01,15631
2006-08-01,11090
2006-09-01,4920
2006-10-01,4217
2006-11-01,3207
2006-12-01,3397
2007-01-01,3365
2007-02-01,7968
2007-03-01,14295
2007-04-01,10489
2007-05-01,10457
2007-06-01,8234
2007-07-01,12195
2007-08-01,9623
2007-09-01,6626
2007-10-01,4818
2007-11-01,4244
2007-12-01,3259
2008-01-01,5655
2008-02-01,6956
2008-03-01,9989
2008-04-01,10826
2008-05-01,7228
2008-06-01,9871
2008-07-01,10237
2008-08-01,8498
2008-09-01,4214
2008-10-01,4526
2008-11-01,4799
2008-12-01,2579
2009-01-01,5750
2009-02-01,9683
2009-03-01,12437
2009-04-01,10977
2009-05-01,5912
2009-06-01,5726
2009-07-01,10570
2009-08-01,6766
2009-09-01,4647
2009-10-01,1913
2009-11-01,2953
2009-12-01,991
2010-01-01,2509
2010-02-01,2712
2010-03-01,9115
2010-04-01,11910
2010-05-01,5111
2010-06-01,5637
2010-07-01,9077
2010-08-01,8281
2010-09-01,7630
2010-10-01,8664
2010-11-01,4954
2010-12-01,4289
2011-01-01,5273
2011-02-01,10059
2011-03-01,9723
2011-04-01,8577
2011-05-01,6758
2011-06-01,9476
2011-07-01,10601
2011-08-01,11430
2011-09-01,8072
2011-10-01,4702
2011-11-01,3675
2011-12-01,2206
2012-01-01,4098
2012-02-01,4018
2012-03-01,8051
2012-04-01,7776
2012-05-01,5851
2012-06-01,6979
2012-07-01,12031
2012-08-01,8348
2012-09-01,5080
2012-10-01,3666
2012-11-01,4756
2012-12-01,2115
2013-01-01,3122
2013-02-01,3266
2013-03-01,8633
2013-04-01,7386
2013-05-01,7383
2013-06-01,5612
2013-07-01,8251
2013-08-01,8291
2013-09-01,4782
2013-10-01,2576
2013-11-01,3791
2013-12-01,1687
2014-01-01,5881
2014-02-01,4245
2014-03-01,9147
2014-04-01,10014
2014-05-01,6325
2014-06-01,4556
2014-07-01,8591
2014-08-01,6844
2014-09-01,3220
2014-10-01,3067
2014-11-01,3904
